Source,Target,in_reply_to_statusID,tweet_ID,text,isRetweet,retweet_count,followers_count,friends_count,mentioned_users
sFägnäscht 🇨🇭,@LahorJakrlin,None,938404302774853634,RT @LahorJakrlin: Wieder mal @srfnews Morgenmews 7 Uhr angehört: Beginnt mit #Trump- u #Israelbashing (US verlegen Botschaft nach Jerusalem…,True,3,22,153, 809005381 LahorJakrlin Lahor Jakrlin-17864468 srfnews SRF News-
stocki363,@medienwende,None,938404077087707138,"RT @medienwende: @peter_schibli Keine ""klugen Gedanken"" sondern verknöchertes Denken: Der gutbestallten Autorin fällt es leicht  die Zwangs…",True,1,74,200, 3091011881 medienwende MedienWende.ch-816608420 peter_schibli Peter Schibli-
Ugugu,@redder66,None,938403606071529472,RT @redder66: Bald sind Wahlen in Züri. Erinnerung: Filippo Leutenegger ist im Vorstand der #NoBillag-Truppe „Aktion Medienfreiheit“  gemei…,True,17,3690,2835, 14512645 redder66 reda el arbi-
Yvonne Gardner,@fzin,None,938403320812666882,RT @fzin: Würde sich eine Aussenstehender Kampagnenmotive &amp; Plakatsprache anschauen - er wäre wohl verwirrt  auf welcher Seite diese „Radik…,True,3,38,247, 49974829 fzin Florian Zingg-
Seven,byebyebillag,938385966053691393,938402169841180673,@byebyebillag Natürlich gehts auch um Neutralität. Gute Medien sind breit gefächert  in ihrer Gesamtheit aber mögli… https://t.co/eFzsbswEtL,False,0,115,301, 18830840 byebyebillag Bye Bye Billag-
Nicki Schenker,@pascalkesseli,None,938401264777547777,RT @pascalkesseli: #SRGHorrorStory: Nach einem Ja zu @NoBillag wird ein privater Sender so mächtig  dass er das Parlament beeinflusst und e…,True,52,28,54, 240646297 pascalkesseli Pascal Kesseli-1383737941 NoBillag No Billag!-
(((Carl Kamarag))),@Sanwaechter,None,938400650198749185,"RT @Sanwaechter: Die No-Billag gegner sagen wir brauchen die Gebühren und den Staatssender ""SRG"" für die Medienvielfalt. Seit wann ist Mono…",True,30,166,103, 929792086571921408 Sanwaechter Sandro Wächter-
Roland Ziegler,@cedricwermuth,None,938399197090500609,RT @cedricwermuth: Ich kritisiere @SRF praktisch wöchentlich. Politberichterstattung mangelhaft. Mit #NoBillag hätte ich kein öffentlich-re…,True,32,413,489, 21436172 cedricwermuth Cédric Wermuth-187853842 SRF SRF-
Fritz,@ronniegrob,None,938399133307756545,RT @ronniegrob: @schlegel_stefan @operationlibero @NoBillag «Anschlag auf unsere Demokratie» klingt für mich nicht wie eine Einladung zur D…,True,21,342,306, 5401622 ronniegrob Ronnie Grob-1443873894 schlegel_stefan Stefan Schlegel-2674994976 operationlibero Operation Libero-1383737941 NoBillag No Billag!-
Pro Billag,@campaxorg,None,938398406136991744,RT @campaxorg: Am Abend des 12.12. um 18h hirnen wir in Zürich an #NeinzuNoBillag rum. Jetzt anmelden. https://t.co/a7RSmYWpOu. Wenn Du ein…,True,4,620,673, 4913827413 campaxorg campax-
